id;slot_time;book_day;is_cancelled;requested_at;updated_at
1;2022-10-31T07:12:03;2022-10-31;true;2022-10-30T11:54:08;2022-10-30T10:50:40
2;2022-10-30T18:08:36;2022-10-30;false;2022-10-30T17:00:10;2022-10-30T13:00:13
3;2022-10-30T19:23:07;2022-10-31;true;2022-10-30T10:27:09;2022-10-30T19:28:52
4;2022-10-30T22:44:39;2022-10-31;false;2022-10-30T10:25:52;2022-10-31T02:07:05
5;2022-10-30T19:01:48;2022-10-30;true;2022-10-30T10:54:48;2022-10-30T19:14:42
6;2022-10-30T18:59:39;2022-10-30;false;2022-10-30T11:03:01;2022-10-31T08:54:05
7;2022-10-30T11:10:55;2022-10-31;true;2022-10-31T08:26:53;2022-10-30T12:55:17
8;2022-10-31T03:04:49;2022-10-30;true;2022-10-30T22:25:38;2022-10-31T00:10:58
9;2022-10-30T13:29:18;2022-10-30;true;2022-10-31T05:43:35;2022-10-31T02:20:27
10;2022-10-31T02:40:33;2022-10-31;true;2022-10-30T23:14:12;2022-10-31T02:43:52
